0,309,1731,27
1,1731,1572,30
2,1572,77,93
3,77,25,99
4,25,190,90
5,190,685,97
6,685,71,30
7,71,87,38
8,87,152,71
9,152,1873,78
10,1873,385,51
11,385,1269,34
12,1269,174,51
13,174,1252,31
14,1252,1754,71
15,1754,337,40
16,337,1931,84
17,1931,419,70
18,419,527,51
19,527,551,39
20,551,1517,100
21,1517,1599,4
22,1599,653,42
23,653,1000,53
24,1000,1162,56
25,1162,816,78
26,816,1628,1
27,1628,1805,81
28,1805,1167,25
29,1167,771,43
30,771,1905,53
31,1905,1508,93
32,1508,830,78
33,830,1891,26
34,1891,761,24
35,761,1830,85
36,1830,706,10
37,706,1205,61
38,1205,557,48
39,557,1437,41
40,1437,1219,53
41,1219,293,27
42,293,1570,64
43,1570,137,69
44,137,916,38
45,916,1,85
46,1,198,10
47,198,1746,92
48,1746,1540,32
49,1540,1818,50
50,1818,33,39
51,33,600,87
52,600,887,37
53,887,596,19
54,596,1780,6
55,1780,683,62
56,683,1449,54
57,1449,1027,82
58,1027,101,72
59,101,1882,46
60,1882,1803,43
61,1803,1408,79
62,1408,1387,3
63,1387,1352,64
64,1352,595,12
65,595,254,94
66,254,1478,31
67,1478,1538,76
68,1538,1555,100
69,1555,829,62
70,829,263,85
71,263,451,45
72,451,111,13
73,111,304,91
74,304,248,21
75,248,654,79
76,654,835,53
77,835,979,94
78,979,883,78
79,883,176,19
80,176,1965,90
81,1965,1031,55
82,1031,1585,89
83,1585,275,51
84,275,1506,30
85,1506,78,42
86,78,1736,61
87,1736,477,34
88,477,1789,96
89,1789,958,22
90,958,1307,65
91,1307,186,81
92,186,1206,35
93,1206,250,3
94,250,610,50
95,610,219,73
96,219,1089,18
97,1089,1193,47
98,1193,492,53
99,492,1440,40
100,1440,1669,32
101,1669,1822,64
102,1822,1231,57
103,1231,1438,99
104,1438,964,58
105,964,75,38
106,75,435,10
107,435,1339,53
108,1339,1498,72
109,1498,754,34
110,754,166,1
111,166,856,70
112,856,1987,40
113,1987,782,93
114,782,345,84
115,345,270,77
116,270,125,12
117,125,1261,66
118,1261,1722,38
119,1722,912,33
120,912,1482,55
121,1482,1530,60
122,1530,28,10
123,28,1204,62
124,1204,1784,40
125,1784,1293,45
126,1293,762,80
127,762,517,72
128,517,1535,72
129,1535,1385,41
130,1385,283,54
131,283,1755,70
132,1755,364,69
133,364,1110,64
134,1110,1207,84
135,1207,1176,100
136,1176,1403,14
137,1403,53,26
138,53,1865,2
139,1865,796,55
140,796,207,74
141,207,223,35
142,223,436,59
143,436,40,72
144,40,1561,12
145,1561,430,98
146,430,1374,13
147,1374,169,97
148,169,799,97
149,799,897,98
150,897,1989,10
151,1989,1787,67
152,1787,1748,65
153,1748,957,73
154,957,1808,22
155,1808,1926,39
156,1926,1749,13
157,1749,1275,76
158,1275,615,4
159,615,59,4
160,59,251,19
161,251,392,35
162,392,1567,9
163,1567,1058,27
164,1058,1615,30
165,1615,846,73
166,846,1017,62
167,1017,1197,8
168,1197,439,62
169,439,45,14
170,45,745,55
171,745,1739,5
172,1739,389,56
173,389,657,1
174,657,511,47
175,511,313,53
176,313,848,41
177,848,1365,49
178,1365,168,68
179,168,1980,8
180,1980,1790,32
181,1790,1155,30
182,1155,1003,47
183,1003,1775,34
184,1775,641,92
185,641,327,93
186,327,205,46
187,205,1246,90
188,1246,837,27
189,837,429,2
190,429,823,50
191,823,1420,68
192,1420,531,71
193,531,407,56
194,407,2,52
195,2,1422,25
196,1422,1513,71
197,1513,1903,95
198,1903,486,77
199,486,1351,51
200,1351,710,68
201,710,1242,43
202,1242,499,14
203,499,1416,42
204,1416,49,69
205,49,1773,7
206,1773,975,50
207,975,836,54
208,836,1179,22
209,1179,740,30
210,740,1046,39
211,1046,1946,85
212,1946,1794,54
213,1794,1232,85
214,1232,1123,85
215,1123,82,91
216,82,929,95
217,929,1326,53
218,1326,1943,55
219,1943,1732,33
220,1732,118,86
221,118,1330,84
222,1330,1703,62
223,1703,1765,47
224,1765,1667,33
225,1667,1199,69
226,1199,981,93
227,981,787,69
228,787,667,93
229,667,1005,95
230,1005,552,77
231,552,96,22
232,96,46,1
233,46,1568,37
234,1568,175,100
235,175,297,97
236,297,518,52
237,518,123,45
238,123,278,63
239,278,617,3
240,617,569,96
241,569,784,90
242,784,298,27
243,298,201,63
244,201,1298,61
245,1298,280,88
246,280,1088,29
247,1088,1975,1
248,1975,1767,60
249,1767,318,56
250,318,992,67
251,992,811,30
252,811,919,93
253,919,1858,87
254,1858,1999,63
255,1999,374,77
256,374,634,5
257,634,1545,65
258,1545,1113,22
259,1113,1102,53
260,1102,355,14
261,355,1621,95
262,1621,1431,35
263,1431,1355,85
264,1355,1645,88
265,1645,755,36
266,755,1085,41
267,1085,1653,14
268,1653,135,91
269,135,1302,78
270,1302,1611,56
271,1611,901,37
272,901,943,71
273,943,1342,26
274,1342,648,52
275,648,543,75
276,543,739,26
277,739,1709,21
278,1709,996,35
279,996,128,15
280,128,512,23
281,512,47,71
282,47,1704,56
283,1704,1188,47
284,1188,1334,27
285,1334,1876,39
286,1876,788,19
287,788,90,98
288,90,695,28
289,695,1699,31
290,1699,1287,42
291,1287,230,68
292,230,1661,72
293,1661,114,62
294,114,167,59
295,167,1643,25
296,1643,383,59
297,383,312,90
298,312,1125,59
299,1125,944,36
300,944,1312,92
301,1312,1707,48
302,1707,1030,10
303,1030,955,64
304,955,1940,93
305,1940,915,15
306,915,229,43
307,229,1851,50
308,1851,405,54
309,405,934,19
310,934,1726,25
311,1726,408,51
312,408,1153,82
313,1153,32,69
314,32,662,79
315,662,488,21
316,488,776,70
317,776,579,55
318,579,450,70
319,450,982,23
320,982,1428,78
321,1428,507,54
322,507,700,23
323,700,1828,28
324,1828,947,82
325,947,1371,49
326,1371,1379,63
327,1379,678,33
328,678,1477,90
329,1477,747,78
330,747,1165,73
331,1165,1583,57
332,1583,1932,78
333,1932,1303,48
334,1303,530,29
335,530,509,30
336,509,660,36
337,660,1698,43
338,1698,1048,87
339,1048,1001,4
340,1001,272,23
341,272,1927,47
342,1927,1324,94
343,1324,1925,14
344,1925,594,100
345,594,1519,88
346,1519,1630,8
347,1630,1202,91
348,1202,918,70
349,918,1273,52
350,1273,1299,85
351,1299,1644,13
352,1644,373,12
353,373,877,67
