0,560,563,79,-618|-6,-539|58
1,563,293,8,-539|58,-461|68
2,293,0,8,-461|68,-340|87
3,0,1,34,-340|87,-317|133
4,1,2,75,-317|133,-294|150
5,2,3,89,-294|150,-268|137
6,3,4,5,-268|137,-258|87
7,4,10,5,-258|87,-257|27
8,10,11,47,-257|27,-221|27
9,11,5,31,-221|27,-223|84
10,5,6,3,-223|84,-194|141
11,6,7,21,-194|141,-166|156
12,7,8,68,-166|156,-147|136
13,8,9,45,-147|136,-146|85
14,9,254,35,-146|85,-148|24
15,254,255,19,-148|24,-112|24
16,255,14,3,-112|24,-112|85
17,14,12,27,-112|85,-89|131
18,12,13,7,-89|131,-72|152
19,13,15,62,-72|152,-40|135
20,15,16,50,-40|135,-30|85
22,17,20,71,4|82,33|139
23,20,21,17,33|139,54|159
24,21,22,17,54|159,80|134
25,22,23,86,80|134,81|83
26,23,256,34,81|83,81|22
27,256,257,67,81|22,117|22
28,257,26,11,117|22,116|83
29,26,24,63,116|83,139|129
30,24,25,96,139|129,163|150
31,25,27,52,163|150,188|133
32,27,28,48,188|133,198|83
33,28,32,96,198|83,199|23
34,32,33,45,199|23,235|23
35,33,29,56,235|23,233|80
36,29,30,59,233|80,262|137
37,30,31,45,262|137,291|176
38,31,34,23,291|176,309|132
39,34,35,88,309|132,310|81
40,35,258,84,310|81,310|19
41,258,259,89,310|19,346|19
42,259,36,94,346|19,344|81
43,36,37,67,344|81,367|127
44,37,38,35,367|127,394|171
45,38,39,34,394|171,416|131
46,39,40,95,416|131,426|81
47,40,41,2,426|81,427|21
48,41,43,4,427|21,463|21
49,43,42,6,463|21,461|78
50,42,44,52,461|78,490|135
51,44,45,43,490|135,514|173
52,45,46,37,514|173,537|130
53,46,47,62,537|130,538|79
54,47,260,4,538|79,542|17
55,260,261,62,542|17,578|17
56,261,52,5,578|17,578|82
57,52,48,84,578|82,601|128
58,48,49,46,601|128,603|163
59,49,50,48,603|163,650|132
60,50,53,95,650|132,660|82
61,53,63,82,660|82,661|23
62,63,64,81,661|23,697|23
63,64,54,59,697|23,695|79
64,54,51,1,695|79,724|136
65,51,55,7,724|136,753|155
66,55,56,5,753|155,771|131
67,56,57,18,771|131,772|80
68,57,262,29,772|80,775|18
69,262,263,50,775|18,811|18
70,263,59,82,811|18,806|80
71,59,58,4,806|80,829|126
72,58,60,64,829|126,836|161
73,60,61,53,836|161,878|130
74,61,62,2,878|130,888|80
75,62,66,17,888|80,889|21
76,66,67,79,889|21,925|21
77,67,65,85,925|21,923|77
78,65,68,38,923|77,952|134
79,68,69,93,952|134,979|158
80,69,70,12,979|158,999|129
81,70,71,13,999|129,1000|78
82,71,264,2,1000|78,1002|18
83,264,265,71,1002|18,1038|18
84,265,74,18,1038|18,1035|78
85,74,72,81,1035|78,1058|124
86,72,73,82,1058|124,1088|150
87,73,75,94,1088|150,1107|128
88,75,76,26,1107|128,1117|78
89,76,80,20,1117|78,1118|19
90,80,81,66,1118|19,1154|19
91,81,77,63,1154|19,1152|75
92,77,78,92,1152|75,1181|132
93,78,79,81,1181|132,1207|147
